"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"14550","Malaysia",2020-07-20,181,8800,21,123,0,8555,2,122,27.2,0.1,0.4,0.4,0,133,120
"14715","Maldives",2020-07-20,181,2999,33,15,0,2369,7,615,554.3,6.1,113.7,2.8,0,88,18
"14806","Mali",2020-07-20,181,2475,0,121,0,1851,23,503,12.2,0,2.5,0.6,0,99,98
"14971","Malta",2020-07-20,181,677,0,9,0,664,2,4,153.2,0,0.9,2,0,119,0
"14992","Mauritania",2020-07-20,181,5923,50,155,0,3632,196,2136,127.4,1.1,45.9,3.3,0,62,55
"15135","Mauritius",2020-07-20,181,343,0,10,0,332,1,1,27,0,0.1,0.8,0,114,84
"15243","Mexico",2020-07-20,181,349396,5172,39485,301,263091,8150,46820,271,4,36.3,30.6,0.2,124,115
"15506","Moldova, Republic of",2020-07-20,181,21115,135,695,11,14467,91,5953,523.4,3.3,147.6,17.2,0.3,119,107
"15586","Monaco",2020-07-20,181,109,0,4,0,100,2,5,279.5,0,12.8,10.3,0,29,0
"15656","Mongolia",2020-07-20,181,287,0,0,0,213,0,74,8.8,0,2.3,0,0,65,0
"15806","Montenegro",2020-07-20,181,2188,0,32,0,385,0,1771,348.4,0,282,5.1,0,111,22
"15990","Morocco",2020-07-20,181,17562,326,276,3,15132,211,2154,47.6,0.9,5.8,0.7,0,120,116
"16103","Mozambique",2020-07-20,181,1507,16,11,1,505,33,991,4.8,0.1,3.2,0,0,70,2
"16274","MS Zaandam Cruise Ship",2020-07-20,181,9,0,2,0,0,0,7,NA,NA,NA,NA,NA,0,0
"16296","Namibia",2020-07-20,181,1344,97,4,1,42,7,1298,52.9,3.8,51.1,0.2,0,25,0
"16576","Nepal",2020-07-20,181,17844,186,40,0,11868,173,5936,61.2,0.6,20.4,0.1,0,74,46
"16632","Netherlands",2020-07-20,181,52142,187,6155,0,194,0,45793,304.3,1.1,267.2,35.9,0,136,129
"16752","New Zealand",2020-07-20,181,1555,1,22,0,1506,0,27,32.2,0,0.6,0.5,0,120,94
"16885","Nicaragua",2020-07-20,181,3147,0,99,0,2282,0,766,47.5,0,11.6,1.5,0,62,62
"17109","Niger",2020-07-20,181,1105,1,69,0,1014,0,22,4.6,0,0.1,0.3,0,108,106
"17206","Nigeria",2020-07-20,181,37225,562,801,12,15333,228,21091,18.1,0.3,10.2,0.4,0,113,100
"17292","North Macedonia",2020-07-20,181,9249,96,432,10,4871,61,3946,444,4.6,189.4,20.7,0.5,120,110
"17459","Norway",2020-07-20,181,9034,6,255,0,8138,0,641,166.6,0.1,11.8,4.7,0,136,119
"17683","Oman",2020-07-20,181,68400,1739,326,8,45150,1146,22924,1339.3,34.1,448.9,6.4,0.2,116,87
"17819","Pakistan",2020-07-20,181,266096,1013,5639,40,208030,2101,52427,120.5,0.5,23.7,2.6,0,127,116
"17904","Panama",2020-07-20,181,54426,958,1127,31,29164,682,24135,1261.3,22.2,559.3,26.1,0.7,123,114
"18078","Papua New Guinea",2020-07-20,181,19,3,1,1,8,0,10,0.2,0,0.1,0,0,0,0
"18146","Paraguay",2020-07-20,181,3748,27,33,2,2171,253,1544,52.5,0.4,21.6,0.5,0,106,81
"18361","Peru",2020-07-20,181,353590,0,13187,0,245081,3126,95322,1072.4,0,289.1,40,0,125,115
"18466","Philippines",2020-07-20,181,68898,1442,1835,4,23072,607,43991,62.9,1.3,40.1,1.7,0,128,127
"18608","Poland",2020-07-20,181,40383,279,1627,3,30539,247,8217,106.7,0.7,21.7,4.3,0,128,118
"18821","Portugal",2020-07-20,181,48771,135,1691,2,33547,178,13533,478.3,1.3,132.7,16.6,0,129,121
"18923","Qatar",2020-07-20,181,107037,389,159,2,103782,405,3096,3715.3,13.5,107.5,5.5,0.1,131,89
"19144","Republic of Korea",2020-07-20,181,13816,45,296,0,12643,71,877,26.9,0.1,1.7,0.6,0,151,146
"19172","Republic of the Congo",2020-07-20,181,2851,218,50,1,666,40,2135,51.7,4,38.7,0.9,0,96,77
"19296","Romania",2020-07-20,181,38139,681,2038,12,22747,130,13354,198.2,3.5,69.4,10.6,0.1,128,118
"19485","Russia",2020-07-20,181,776212,5901,12408,85,552644,3257,211160,531.9,4,144.7,8.5,0.1,125,111
"19630","Rwanda",2020-07-20,181,1629,47,5,0,838,4,786,12.6,0.4,6.1,0,0,107,0
"19842","Saint Kitts and Nevis",2020-07-20,181,17,0,0,0,15,0,2,32.1,0,3.8,0,0,0,0
"19987","Saint Lucia",2020-07-20,181,23,0,0,0,19,0,4,12.5,0,2.2,0,0,0,0
"20116","Saint Vincent and the Grenadines",2020-07-20,181,50,6,0,0,29,0,21,45,5.4,18.9,0,0,0,0
"20249","San Marino",2020-07-20,181,699,0,42,0,656,0,1,2055.9,0,2.9,123.5,0,127,124
"20312","Sao Tome and Principe",2020-07-20,181,746,0,14,0,536,85,196,340.6,0,89.5,6.4,0,76,56
"20391","Saudi Arabia",2020-07-20,181,253349,2429,2523,37,203259,5524,47567,727.7,7,136.6,7.2,0.1,128,111
"20636","Senegal",2020-07-20,181,8948,138,170,3,6002,54,2776,53.4,0.8,16.6,1,0,116,77
"20730","Serbia",2020-07-20,181,21253,359,482,10,0,0,20771,243.3,4.1,237.7,5.5,0.1,123,114
"20909","Seychelles",2020-07-20,181,108,0,0,0,27,0,81,110.2,0,82.7,0,0,10,0
"20972","Sierra Leone",2020-07-20,181,1711,0,66,1,1261,24,384,21.4,0,4.8,0.8,0,83,76
"21041","Singapore",2020-07-20,181,48035,123,27,0,44371,285,3637,821.1,2.1,62.2,0.5,0,142,97
"21266","Slovakia",2020-07-20,181,1980,1,28,0,1538,8,414,36.3,0,7.6,0.5,0,124,93
"21382","Slovenia",2020-07-20,181,1953,7,113,1,1603,35,237,93.9,0.3,11.4,5.4,0,129,113
"21529","Somalia",2020-07-20,181,3130,11,93,0,1462,5,1575,19.7,0.1,9.9,0.6,0,94,88
"21653","South Africa",2020-07-20,181,373628,9300,5173,140,194865,3806,173590,630,15.7,292.7,8.7,0.2,124,106
"21810","South Sudan",2020-07-20,181,2211,11,45,2,1175,0,991,19.8,0.1,8.9,0.4,0,73,54
"21895","Spain",2020-07-20,181,264836,4581,28422,2,150376,0,86038,566.4,9.8,184,60.8,0,140,135
"22102","Sri Lanka",2020-07-20,181,2730,6,11,0,2041,6,678,12.7,0,3.2,0.1,0,118,56
"22272","Sudan",2020-07-20,181,10992,0,693,0,5707,0,4592,25.1,0,10.5,1.6,0,91,93
"22364","Suriname",2020-07-20,181,1079,50,21,0,656,29,402,183.8,8.5,68.5,3.6,0,44,26
"22620","Sweden",2020-07-20,181,78048,767,5639,20,0,0,72409,772.8,7.6,717,55.8,0.2,136,124
"22660","Switzerland",2020-07-20,181,33634,43,1971,2,30300,0,1363,388.6,0.5,15.7,22.8,0,137,129
"22879","Syria",2020-07-20,181,522,26,29,4,154,10,339,3,0.1,1.9,0.2,0,56,17
"22946","Taiwan",2020-07-20,181,451,0,7,0,440,0,4,1.9,0,0,0,0,124,0
"23092","Tajikistan",2020-07-20,181,6921,43,57,0,5629,51,1235,72.6,0.5,12.9,0.6,0,78,74
"23234","Tanzania, United Republic of",2020-07-20,181,509,0,21,0,183,0,305,0.9,0,0.5,0,0,94,91
"23338","Thailand",2020-07-20,181,3250,0,58,0,3096,0,96,4.7,0,0.1,0.1,0,127,111
"23500","The Bahamas",2020-07-20,181,174,21,11,0,91,0,72,44.3,5.3,18.3,2.8,0,58,88
"23664","The Gambia",2020-07-20,181,112,19,4,0,57,8,51,4.6,0.8,2.1,0.2,0,0,0
"23735","Timor-Leste",2020-07-20,181,24,0,0,0,24,0,0,1.8,0,0,0,0,0,0
"23937","Togo",2020-07-20,181,783,5,15,0,554,3,214,9.5,0.1,2.6,0.2,0,82,73
"24002","Trinidad and Tobago",2020-07-20,181,137,0,8,0,124,0,5,9.8,0,0.4,0.6,0,107,0
"24128","Tunisia",2020-07-20,181,1381,7,50,0,1099,2,232,11.7,0.1,2,0.4,0,118,111
"24267","Turkey",2020-07-20,181,220572,931,5508,17,203002,992,12062,261.5,1.1,14.3,6.5,0,123,120
"24406","Uganda",2020-07-20,181,1069,4,0,0,1071,48,-2,2.3,0,0,0,0,75,0
"24546","UK",2020-07-20,181,296944,586,45397,12,1413,0,250134,437.4,0.9,368.5,66.9,0,140,129
"24688","Ukraine",2020-07-20,181,60767,690,1517,13,32397,561,26853,138.9,1.6,61.4,3.5,0,117,113
"24869","United Arab Emirates",2020-07-20,181,57193,271,340,1,49621,352,7232,578.3,2.7,73.1,3.4,0,124,107
